Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
414,Samaki Walker\walkesa01,PF,24,SAS,61,1,15.8,2,4.1,0.48,0,0,0.333,2,4.1,0.482,0.482,1.3,2,0.629,1.1,2.9,4,0.5,0.2,0.7,1.1,1.7,5.3
415,Ben Wallace\wallabe01,C,26,DET,80,80,34.5,2.7,5.5,0.49,0,0.1,0.25,2.7,5.4,0.492,0.491,1,3,0.336,3.8,9.4,13.2,1.5,1.3,2.3,1.5,2.4,6.4
416,John Wallace\wallajo01,SF,26,DET,40,0,13.2,2.5,5.9,0.424,0.1,0.4,0.133,2.5,5.5,0.443,0.428,0.9,1.1,0.778,0.6,1.5,2.1,0.6,0.3,0.4,0.9,1.8,5.9
417,Rasheed Wallace\wallara01,PF,26,POR,77,75,38.2,7.7,15.3,0.501,0.7,2.1,0.321,7,13.2,0.53,0.523,3.2,4.2,0.766,1.9,5.9,7.8,2.8,1.2,1.8,2.1,2.7,19.2
418,Charlie Ward\wardch01,PG,30,NYK,61,33,24.5,2.5,6.1,0.416,1.1,2.9,0.383,1.4,3.2,0.444,0.505,0.9,1.1,0.8,0.5,2.1,2.6,4.5,1.1,0.2,1.8,2.2,7.1
419,Clarence Weatherspoon\weathcl01,PF,30,CLE,82,82,33.8,4.2,8.4,0.501,0,0,,4.2,8.4,0.501,0.501,2.8,3.5,0.79,2.7,7,9.7,1.3,1,1.3,1.4,2.1,11.3
420,Chris Webber\webbech01,PF,27,SAC,70,70,40.5,11.2,23.4,0.481,0,0.4,0.071,11.2,23,0.488,0.481,4.6,6.6,0.703,2.6,8.5,11.1,4.2,1.3,1.7,2.8,3.2,27.1
421,Bonzi Wells\wellsbo01,SF,24,POR,75,46,26.6,5.2,9.7,0.533,0.2,0.7,0.34,4.9,9,0.547,0.545,2.1,3.2,0.663,1.6,3.3,4.9,2.8,1.3,0.3,2.3,2.7,12.7
422,David Wesley\wesleda01,SG,30,CHH,82,82,37.9,6.4,15.1,0.422,1.2,3.1,0.376,5.2,12,0.434,0.461,3.3,4.1,0.799,0.8,2,2.7,4.4,1.6,0.2,2.1,2.7,17.2
423,Doug West\westdo01,SG,33,VAN,15,6,11.4,0.7,2.5,0.289,0,0.1,0,0.7,2.4,0.306,0.289,0.4,0.5,0.857,0.3,0.7,1,0.9,0.2,0.3,0.3,1.4,1.9
424,Jahidi White\whiteja01,C,24,WAS,68,56,23.7,3,6,0.498,0,0,0,3,6,0.499,0.498,2.6,4.6,0.567,2.6,5,7.7,0.3,0.5,1.6,2,3.1,8.6
425,Chris Whitney\whitnch01,PG,29,WAS,59,31,26,3.1,8,0.387,1.6,4.2,0.375,1.5,3.8,0.401,0.486,1.7,1.9,0.894,0.2,1.6,1.8,4.2,0.9,0.1,1.7,2.5,9.5
426,Aaron Williams\williaa01,PF,29,NJN,82,25,28.5,3.6,7.9,0.457,0,0,0,3.6,7.9,0.458,0.457,3,3.8,0.787,2.6,4.6,7.2,1.1,0.7,1.4,1.6,3.9,10.2
427,Alvin Williams\willial02,SG,26,TOR,82,34,29.2,4,9.4,0.43,0.4,1.3,0.306,3.6,8,0.451,0.452,1.3,1.8,0.752,0.6,2,2.6,5,1.5,0.3,1.3,2.1,9.8
428,Eric Williams\willier01,SF,28,BOS,81,11,21.5,2,5.5,0.362,0.6,1.7,0.331,1.4,3.8,0.375,0.413,2,2.9,0.714,0.8,1.8,2.6,1.4,0.8,0.2,0.9,2.2,6.6
429,Jason Williams\willija02,PG,25,SAC,77,77,29.7,3.6,9,0.407,1.3,4,0.315,2.4,4.9,0.483,0.478,0.8,1,0.789,0.2,2.2,2.4,5.4,1.2,0.1,2.1,1.5,9.4
430,Jerome Williams\willije01,PF,27,TOT,59,2,20,2.3,5,0.463,0,0.1,0,2.3,4.9,0.467,0.463,1.7,2.3,0.741,2.3,4.2,6.5,0.8,1,0.3,1.1,2.1,6.3
430,Jerome Williams\willije01,PF,27,DET,33,2,24.4,2.7,6.1,0.438,0,0.1,0,2.7,6,0.442,0.438,2,2.7,0.722,3,5.5,8.4,1,1.2,0.3,1.4,2.5,7.3
430,Jerome Williams\willije01,PF,27,TOR,26,0,14.5,1.8,3.6,0.516,0,0,0,1.8,3.5,0.522,0.516,1.3,1.7,0.778,1.3,2.7,4,0.5,0.7,0.4,0.6,1.7,5
431,Monty Williams\willimo01,SF,29,ORL,82,0,14.8,2,4.4,0.445,0,0.2,0.077,2,4.3,0.459,0.446,1,1.6,0.639,1,1.9,3,1,0.4,0.2,1,1.7,5
